"Velocity:0","Velocity:1","Velocity:2","Velocity Magnitude","Pressure","Points:0","Points:1","Points:2"
1.191,0.0217,0,1.191,0.07164,6.75,2.5,0
1.192,0.02207,0,1.192,0.07172,6.763,2.5,0
1.193,0.0229,0,1.193,0.07188,6.792,2.5,0
1.194,0.02404,0,1.195,0.07204,6.831,2.5,0
1.196,0.0253,0,1.197,0.07215,6.874,2.5,0
1.198,0.02645,0,1.198,0.0722,6.913,2.5,0
1.199,0.0273,0,1.2,0.07219,6.941,2.5,0
1.2,0.02768,0,1.2,0.07217,6.955,2.5,0
1.179,0.02146,0,1.179,0.07142,6.75,2.506,0
1.179,0.02183,0,1.179,0.0715,6.763,2.506,0
1.18,0.02265,0,1.181,0.07166,6.792,2.506,0
1.182,0.02377,0,1.182,0.07182,6.831,2.506,0
1.184,0.025,0,1.184,0.07193,6.874,2.506,0
1.186,0.02613,0,1.186,0.07197,6.913,2.506,0
1.187,0.02697,0,1.187,0.07197,6.941,2.507,0
1.188,0.02735,0,1.188,0.07195,6.955,2.507,0
1.151,0.02093,0,1.151,0.07097,6.75,2.52,0
1.152,0.02129,0,1.152,0.07105,6.763,2.52,0
1.153,0.02208,0,1.153,0.0712,6.792,2.52,0
1.155,0.02315,0,1.155,0.07136,6.831,2.52,0
1.157,0.02434,0,1.157,0.07147,6.874,2.52,0
1.158,0.02543,0,1.159,0.07151,6.913,2.52,0
1.16,0.02623,0,1.16,0.0715,6.941,2.521,0
1.161,0.0266,0,1.161,0.07149,6.955,2.521,0
1.113,0.02018,0,1.113,0.07039,6.75,2.54,0
1.114,0.02052,0,1.114,0.07047,6.763,2.54,0
1.115,0.02126,0,1.115,0.07062,6.792,2.54,0
1.116,0.02229,0,1.117,0.07078,6.831,2.54,0
1.118,0.02341,0,1.119,0.07089,6.874,2.54,0
1.12,0.02444,0,1.121,0.07092,6.913,2.54,0
1.122,0.0252,0,1.122,0.07091,6.941,2.54,0
1.123,0.02555,0,1.123,0.0709,6.955,2.54,0
1.07,0.01932,0,1.07,0.06982,6.75,2.56,0
1.071,0.01964,0,1.071,0.06989,6.763,2.56,0
1.072,0.02034,0,1.072,0.07004,6.792,2.56,0
1.074,0.0213,0,1.074,0.0702,6.831,2.561,0
1.076,0.02235,0,1.076,0.0703,6.874,2.561,0
1.078,0.02332,0,1.078,0.07034,6.913,2.561,0
1.08,0.02404,0,1.08,0.07033,6.941,2.561,0
1.08,0.02436,0,1.081,0.07032,6.955,2.561,0
1.03,0.01849,0,1.03,0.06934,6.75,2.58,0
1.031,0.01879,0,1.031,0.06942,6.763,2.58,0
1.032,0.01945,0,1.032,0.06956,6.792,2.58,0
1.034,0.02035,0,1.034,0.06972,6.831,2.58,0
1.036,0.02135,0,1.036,0.06982,6.874,2.58,0
1.038,0.02226,0,1.039,0.06986,6.913,2.58,0
1.04,0.02293,0,1.04,0.06985,6.941,2.58,0
1.041,0.02324,0,1.041,0.06983,6.955,2.58,0
1.001,0.01787,0,1.001,0.06902,6.75,2.594,0
1.001,0.01815,0,1.001,0.0691,6.763,2.594,0
1.003,0.01878,0,1.003,0.06924,6.792,2.594,0
1.004,0.01964,0,1.005,0.0694,6.831,2.594,0
1.007,0.02059,0,1.007,0.0695,6.874,2.594,0
1.009,0.02146,0,1.009,0.06954,6.913,2.594,0
1.011,0.0221,0,1.011,0.06953,6.941,2.594,0
1.011,0.02239,0,1.012,0.06951,6.955,2.594,0
0.9869,0.01757,0,0.987,0.06889,6.75,2.6,0
0.9875,0.01785,0,0.9876,0.06896,6.763,2.6,0
0.9888,0.01847,0,0.989,0.0691,6.792,2.6,0
0.9908,0.01931,0,0.991,0.06926,6.831,2.6,0
0.9931,0.02024,0,0.9933,0.06936,6.874,2.6,0
0.9953,0.02109,0,0.9955,0.0694,6.913,2.6,0
0.9969,0.02172,0,0.9972,0.06939,6.941,2.6,0
0.9977,0.022,0,0.998,0.06937,6.955,2.6,0
1.2,0.02768,0,1.2,0.07217,6.955,2.5,0
1.201,0.02807,0,1.201,0.07215,6.968,2.5,0
1.202,0.02892,0,1.203,0.07208,6.996,2.5,0
1.204,0.03008,0,1.205,0.07192,7.035,2.5,0
1.207,0.03135,0,1.207,0.07167,7.078,2.5,0
1.209,0.03251,0,1.21,0.07137,7.117,2.5,0
1.211,0.03335,0,1.211,0.0711,7.146,2.5,0
1.212,0.03373,0,1.212,0.07096,7.159,2.5,0
1.188,0.02735,0,1.188,0.07195,6.955,2.507,0
1.188,0.02773,0,1.189,0.07193,6.968,2.507,0
1.19,0.02856,0,1.19,0.07186,6.996,2.507,0
1.192,0.02971,0,1.193,0.0717,7.035,2.507,0
1.195,0.03095,0,1.195,0.07145,7.078,2.507,0
1.197,0.03209,0,1.197,0.07115,7.117,2.507,0
1.199,0.03292,0,1.199,0.07088,7.146,2.507,0
1.2,0.03329,0,1.2,0.07075,7.159,2.507,0
1.161,0.0266,0,1.161,0.07149,6.955,2.521,0
1.161,0.02697,0,1.162,0.07146,6.968,2.521,0
1.163,0.02777,0,1.163,0.07139,6.996,2.521,0
1.165,0.02887,0,1.165,0.07124,7.035,2.521,0
1.168,0.03007,0,1.168,0.07099,7.078,2.521,0
1.17,0.03116,0,1.17,0.07069,7.117,2.521,0
1.172,0.03196,0,1.172,0.07043,7.146,2.521,0
1.173,0.03232,0,1.173,0.07029,7.159,2.521,0
1.123,0.02555,0,1.123,0.0709,6.955,2.54,0
1.123,0.0259,0,1.124,0.07088,6.968,2.54,0
1.125,0.02666,0,1.125,0.0708,6.996,2.54,0
1.127,0.0277,0,1.128,0.07065,7.035,2.54,0
1.13,0.02884,0,1.13,0.0704,7.078,2.54,0
1.132,0.02987,0,1.133,0.07011,7.117,2.54,0
1.134,0.03062,0,1.135,0.06985,7.146,2.54,0
1.135,0.03097,0,1.136,0.06972,7.159,2.54,0
1.08,0.02436,0,1.081,0.07032,6.955,2.561,0
1.081,0.02469,0,1.081,0.07029,6.968,2.561,0
1.083,0.0254,0,1.083,0.07022,6.996,2.561,0
1.085,0.02638,0,1.085,0.07007,7.035,2.561,0
1.088,0.02744,0,1.088,0.06983,7.078,2.561,0
1.09,0.02841,0,1.091,0.06953,7.117,2.561,0
1.092,0.02912,0,1.093,0.06928,7.146,2.561,0
1.093,0.02944,0,1.094,0.06915,7.159,2.561,0
